text,label
Clinical trial shows encouraging results for patients with tuberculosis,Medical_Research
Lawmakers debate reforms to strengthen mental health programs,Health_Policy
Clinical trial shows encouraging results for patients with heart disease,Medical_Research
Regulators review promising pharmaceutical treatment for diabetes,Pharma_Drug
Government announces new mental health policy after expert review,Health_Policy
Scientists identify biomarker linked to asthma progression,Medical_Research
Lawmakers debate reforms to strengthen disease surveillance programs,Health_Policy
Government announces new disease surveillance policy after expert review,Health_Policy
Pfizer receives approval for new therapy targeting heart disease,Pharma_Drug
Biotech company expands production of medication used for heart disease,Pharma_Drug
Officials expand surveillance as bird flu infections increase across Brazil,Disease_Outbreak
Public health teams respond to suspected measles outbreak in Vietnam,Disease_Outbreak
Officials expand surveillance as mpox infections increase across Brazil,Disease_Outbreak
Officials expand surveillance as measles infections increase across Brazil,Disease_Outbreak
Regulators review promising pharmaceutical treatment for tuberculosis,Pharma_Drug
Health ministry unveils updated framework for drug pricing,Health_Policy
Merck receives approval for new therapy targeting tuberculosis,Pharma_Drug
New research explores AI tools for detecting asthma earlier,Medical_Research
Officials expand surveillance as measles infections increase across Vietnam,Disease_Outbreak
Lawmakers debate reforms to strengthen vaccination programs,Health_Policy
Officials expand surveillance as bird flu infections increase across Kenya,Disease_Outbreak
New research explores AI tools for detecting tuberculosis earlier,Medical_Research
Health ministry unveils updated framework for vaccination,Health_Policy
Health ministry unveils updated framework for health insurance,Health_Policy
Health ministry unveils updated framework for health insurance,Health_Policy
New research explores AI tools for detecting asthma earlier,Medical_Research
Hospitals report pressure from growing typhoid admissions in Brazil,Disease_Outbreak
Biotech company expands production of medication used for asthma,Pharma_Drug
Government announces new vaccination policy after expert review,Health_Policy
Biotech company expands production of medication used for tuberculosis,Pharma_Drug
Scientists identify biomarker linked to heart disease progression,Medical_Research
Clinical trial shows encouraging results for patients with asthma,Medical_Research
Regulators review promising pharmaceutical treatment for diabetes,Pharma_Drug
Drugmaker announces late-stage trial success for cancer medicine,Pharma_Drug
Drugmaker announces late-stage trial success for asthma medicine,Pharma_Drug
Health ministry unveils updated framework for disease surveillance,Health_Policy
Health ministry unveils updated framework for health insurance,Health_Policy
